# {"t_start": 1745263611.6502566, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,816.235359
-50.0,50,816.336246
-50.0,50,816.432806
-50.0,50,816.528836
-50.0,50,816.624384
-50.0,50,816.737819
-50.0,50,816.837453
-50.0,50,816.938872
-50.0,50,817.034682
-50.0,50,817.144754
-50.0,50,818.556166
0.0,50,820.552981
-50.0,50,822.106477
-50.0,50,823.684273
-50.0,50,825.718838
-50.0,50,827.189692
-50.0,50,828.713883
